央视频道,#genre#
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Animax-HK,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
C+台,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv3/rockaction/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
港澳频道,#genre#
凤凰中文,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=fhzw
凤凰资讯,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=fhzx
凤凰香港,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=fhhk
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv
爆谷台http://205.185.123.236:8899/1/baogutai/stream.m3u8
星影台http://205.185.123.236:8899/1/now/stream.m3u8
星河台http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
千禧经典台http://205.185.123.236:8899/astro/qianxi/stream.m3u8
TVB生活台 http://205.185.123.236:8899/tvb/Finance/stream.m3u8
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
无线新闻,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无线翡翠,http://cdn2.1689.us.kg/live/?id=gdfct
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽频粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist.m3u8
无线直播,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist.m3u8
无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist.m3u8
无线生活,https://www.mytvsuper.xyz/tvb/shenghuo/stream.m3u8
无线生活,http://205.185.123.236:8899/tvb/Finance/stream.m3u8
无线星河粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist.m3u8
无线星河国,https://www.mytvsuper.xyz/tvb/xinghe/stream.m3u8
无线星河国,http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,https://www.mytvsuper.xyz/astro/qianxi/stream.m3u8
千禧经典,http://205.185.123.236:8899/astro/qianxi/stream.m3u8
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
Now爆谷,https://www.mytvsuper.xyz/1/baogutai/stream.m3u8
Now爆谷,http://205.185.123.236:8899/1/baogutai/stream.m3u8
Now星影,https://www.mytvsuper.xyz/1/now/stream.m3u8
Now星影,http://205.185.123.236:8899/1/now/stream.m3u8
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
Astv亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
GBN新闻英,http://103.193.151.158:8500/live.m3u8?c=18
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8
熊猫频道,#genre#
熊猫频道高清,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xmhd
熊猫频道1,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm1
熊猫频道2,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm2
熊猫频道3,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm3
熊猫频道4,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm4
熊猫频道5,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm5
熊猫频道6,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm6
熊猫频道7,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm7
熊猫频道8,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm8
熊猫频道9,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm9
熊猫频道10,http://1tv.zwzs.fun/iptv/mg.php?token=miying&id=xm10
广东频道,#genre#
广东体育超清,http://183.48.240.10:5050/udp/239.77.0.168:5146
广东体育高清,http://183.48.240.10:5050/udp/239.77.0.112:5146
广东卫视超清,http://183.48.240.10:5050/udp/239.77.0.166:5146
广东卫视高清,http://183.48.240.10:5050/udp/239.77.0.84:5146
广东卫视高清,http://183.48.240.10:5050/udp/239.77.1.152:5146
广东卫视高清,http://183.48.240.10:5050/udp/239.77.1.19:5146
广东少儿高清,http://183.48.240.10:5050/udp/239.77.0.250:5146
广东影视高清,http://183.48.240.10:5050/udp/239.77.0.217:5146
广东新闻高清,http://183.48.240.10:5050/udp/239.77.0.173:5146
广东民生高清,http://183.48.240.10:5050/udp/239.77.0.225:5146
广东珠江超清,http://183.48.240.10:5050/udp/239.77.0.114:5146
广东珠江高清,http://183.48.240.10:5050/udp/239.77.0.1:5146
广东综艺4k,http://183.48.240.10:5050/udp/239.77.0.245:5146
广东综艺4k,http://183.48.240.10:5050/udp/239.77.0.252:5146
广东综艺(4k),http://183.48.240.10:5050/udp/239.77.0.244:5146
广州影视高清,http://183.48.240.10:5050/udp/239.253.43.73:5146
广州法治高清,http://183.48.240.10:5050/udp/239.253.43.74:5146
广州竞赛高清,http://183.48.240.10:5050/udp/239.253.43.75:5146
广州综合高清,http://183.48.240.10:5050/udp/239.253.43.71:5146
深圳众创TV高清,http://183.48.240.10:5050/udp/239.77.1.247:5146
深圳体育健康,http://183.48.240.10:5050/udp/239.77.1.8:5146
深圳体育健康高清,http://183.48.240.10:5050/udp/239.77.1.140:5146
深圳公共频道,http://183.48.240.10:5050/udp/239.77.1.9:5146
深圳卫视,http://183.48.240.10:5050/udp/239.77.1.21:5146
深圳卫视超清,http://183.48.240.10:5050/udp/239.77.0.130:5146
深圳卫视高清,http://183.48.240.10:5050/udp/239.77.1.3:5146
深圳宜和购物高清,http://183.48.240.10:5050/udp/239.77.1.87:5146
深圳宝安频道高清,http://183.48.240.10:5050/udp/239.77.1.67:5146
深圳少儿频道高清,http://183.48.240.10:5050/udp/239.77.1.244:5146
深圳电视剧频道,http://183.48.240.10:5050/udp/239.77.1.7:5146
深圳电视剧频道高清,http://183.48.240.10:5050/udp/239.77.1.125:5146
深圳财经生活,http://183.48.240.10:5050/udp/239.77.1.22:5146
深圳财经生活高清,http://183.48.240.10:5050/udp/239.77.1.242:5146
深圳都市频道高清,http://183.48.240.10:5050/udp/239.77.1.176:5146
清远文旅生活,http://183.48.240.10:5050/udp/239.77.0.241:5146
清远新闻综合高清,http://183.48.240.10:5050/udp/239.253.43.33:5146
揭阳生活高清,http://183.48.240.10:5050/udp/239.77.0.251:5146
揭阳综合高清,http://183.48.240.10:5050/udp/239.77.0.229:5146
汕头综合高清,http://183.48.240.10:5050/udp/239.253.43.45:5146
汕尾文化生活高清,http://183.48.240.10:5050/udp/239.77.0.187:5146
汕尾新闻综合高清,http://183.48.240.10:5050/udp/239.77.0.25:5146
湛江公共,http://113.101.119.94:808/hls/3/index.m3u8
湛江公共高清,http://183.48.240.10:5050/udp/239.77.0.140:5146
湛江新闻综合高清,http://183.48.240.10:5050/udp/239.77.0.141:5146
韶关新闻综合高清,http://183.48.240.10:5050/udp/239.77.0.117:5146
肇庆生活服务高清,http://183.48.240.10:5050/udp/239.253.43.2:5146
茂名公共高清,http://183.48.240.10:5050/udp/239.77.0.207:5146
浙江频道,#genre#
浙江,#genre#
当前更新：20241119,http://max.token.iptv.xin:2052
CCTV-1高清,http://122.242.147.47:9999/udp/233.50.200.130:5140
CCTV-1高清,http://122.242.147.47:9999/udp/233.50.201.118:5140
CCTV-1高清,http://122.242.147.47:9999/udp/233.50.201.222:5140
CCTV-1高清,http://125.117.104.60:8888/udp/233.50.200.130:5140
CCTV-1高清,http://125.117.104.60:8888/udp/233.50.201.222:5140
CCTV-1高清,http://125.117.191.89:8888/udp/233.50.200.130:5140
CCTV-1高清,http://125.117.191.89:8888/udp/233.50.201.118:5140
CCTV-1高清,http://183.130.46.157:8808/udp/233.50.200.130:5140
CCTV-1高清,http://183.130.46.157:8808/udp/233.50.201.118:5140
CCTV-1高清,http://183.130.46.157:8808/udp/233.50.201.222:5140
CCTV-1,http://122.242.147.47:9999/udp/233.50.201.118:5140
CCTV-1,http://122.242.147.47:9999/udp/233.50.201.222:5140
CCTV-1,http://125.117.104.60:8888/udp/233.50.200.247:5140
CCTV-1,http://125.117.104.60:8888/udp/233.50.201.118:5140
CCTV-1,http://125.117.104.60:8888/udp/233.50.201.222:5140
CCTV-1,http://125.117.191.89:8888/udp/233.50.200.130:5140
CCTV-1,http://125.117.191.89:8888/udp/233.50.201.118:5140
CCTV-1,http://125.117.191.89:8888/udp/233.50.201.222:5140
CCTV-1,http://125.117.191.89:8888/udp/233.50.201.226:5140
CCTV-1,http://183.130.46.157:8808/udp/233.50.200.130:5140
CCTV-2高清,http://122.242.147.47:9999/udp/233.50.200.25:5140
CCTV-2高清,http://122.242.147.47:9999/udp/233.50.201.119:5140
CCTV-2高清,http://125.117.104.60:8888/udp/233.50.200.25:5140
CCTV-2高清,http://125.117.104.60:8888/udp/233.50.201.119:5140
CCTV-2高清,http://125.117.191.89:8888/udp/233.50.200.25:5140
CCTV-2高清,http://125.117.191.89:8888/udp/233.50.201.119:5140
CCTV-2高清,http://183.130.46.157:8808/udp/233.50.200.25:5140
CCTV-2高清,http://183.130.46.157:8808/udp/233.50.201.119:5140
CCTV-2高清,http://60.176.120.163:55555/udp/233.50.200.25:5140
CCTV-2高清,http://60.176.120.163:55555/udp/233.50.201.119:5140
CCTV-2,http://122.242.147.47:9999/udp/233.50.200.25:5140
CCTV-2,http://125.117.104.60:8888/udp/233.50.201.119:5140
CCTV-2,http://125.117.191.89:8888/udp/233.50.200.25:5140
CCTV-2,http://183.130.46.157:8808/udp/233.50.201.119:5140
CCTV-2,http://125.117.191.89:8888/udp/233.50.201.119:5140
CCTV-2,http://60.176.120.163:55555/udp/233.50.200.25:5140
CCTV-2,http://60.176.120.163:55555/udp/233.50.201.119:5140
CCTV-3高清,http://125.117.104.60:8888/udp/233.50.201.196:5140
CCTV-3高清,http://125.117.191.89:8888/udp/233.50.201.196:5140
CCTV-3高清,http://183.130.46.157:8808/udp/233.50.201.196:5140
CCTV-3高清,http://60.176.120.163:55555/udp/233.50.201.196:5140
CCTV-3,http://60.176.120.163:55555/udp/233.50.201.196:5140
CCTV-5高清,http://125.117.191.89:8888/udp/233.50.201.197:5140
CCTV-5高清,http://183.130.46.157:8808/udp/233.50.201.197:5140
CCTV-5高清,http://60.176.120.163:55555/udp/233.50.201.197:5140
CCTV-5,http://125.117.104.60:8888/udp/233.50.201.197:5140
CCTV-5,http://125.117.191.89:8888/udp/233.50.200.108:5140
CCTV-5,http://125.117.191.89:8888/udp/233.50.201.197:5140
CCTV-5+高清,http://125.117.104.60:8888/udp/233.50.201.220:5140
CCTV-5+高清,http://125.117.191.89:8888/udp/233.50.201.220:5140
CCTV-5+高清,http://183.130.46.157:8808/udp/233.50.201.220:5140
CCTV-5+,http://125.117.191.89:8888/udp/233.50.201.220:5140
CCTV-5+,http://183.130.46.157:8808/udp/233.50.201.220:5140
CCTV-6,http://122.242.147.47:9999/udp/233.50.201.198:5140
CCTV-6,http://125.117.104.60:8888/udp/233.50.201.198:5140
CCTV-6,http://125.117.191.89:8888/udp/233.50.201.198:5140
CCTV-6,http://60.176.120.163:55555/udp/233.50.201.198:5140
CCTV-6高清,http://122.242.147.47:9999/udp/233.50.201.198:5140
CCTV-6高清,http://125.117.191.89:8888/udp/233.50.201.198:5140
CCTV-6高清,http://183.130.46.157:8808/udp/233.50.201.198:5140
CCTV-7高清,http://125.117.191.89:8888/udp/233.50.201.120:5140
CCTV-7高清,http://183.130.46.157:8808/udp/233.50.200.24:5140
CCTV-7高清,http://60.176.120.163:55555/udp/233.50.200.24:5140
CCTV-7高清,http://183.130.46.157:8808/udp/233.50.201.120:5140
CCTV-7高清,http://60.176.120.163:55555/udp/233.50.201.120:5140
CCTV-7,http://122.242.147.47:9999/udp/233.50.200.24:5140
CCTV-7,http://125.117.191.89:8888/udp/233.50.200.24:5140
CCTV-7,http://125.117.191.89:8888/udp/233.50.201.120:5140
CCTV-7,http://183.130.46.157:8808/udp/233.50.201.120:5140
CCTV-7,http://60.176.120.163:55555/udp/233.50.200.24:5140
CCTV-7,http://60.176.120.163:55555/udp/233.50.201.120:5140
CCTV-8高清,http://122.242.147.47:9999/udp/233.50.201.199:5140
CCTV-8高清,http://125.117.104.60:8888/udp/233.50.201.199:5140
CCTV-8高清,http://183.130.46.157:8808/udp/233.50.201.199:5140
CCTV-8高清,http://60.176.120.163:55555/udp/233.50.201.199:5140
CCTV-8,http://122.242.147.47:9999/udp/233.50.201.199:5140
CCTV-8,http://125.117.104.60:8888/udp/233.50.201.199:5140
CCTV-8,http://125.117.191.89:8888/udp/233.50.201.199:5140
CCTV-8,http://183.130.46.157:8808/udp/233.50.201.199:5140
CCTV-9高清,http://125.117.191.89:8888/udp/233.50.201.121:5140
CCTV-9高清,http://183.130.46.157:8808/udp/233.50.201.121:5140
CCTV-9高清,http://60.176.120.163:55555/udp/233.50.201.121:5140
CCTV-9,http://125.117.191.89:8888/udp/233.50.201.121:5140
CCTV-9,http://60.176.120.163:55555/udp/233.50.201.121:5140
CCTV-10高清,http://125.117.104.60:8888/udp/233.50.201.122:5140
CCTV-10高清,http://125.117.191.89:8888/udp/233.50.201.122:5140
CCTV-10高清,http://183.130.46.157:8808/udp/233.50.201.122:5140
CCTV-10高清,http://60.176.120.163:55555/udp/233.50.201.122:5140
CCTV-10,http://183.130.46.157:8808/udp/233.50.201.122:5140
CCTV-10,http://60.176.120.163:55555/udp/233.50.201.122:5140
CCTV-12高清,http://125.117.104.60:8888/udp/233.50.201.123:5140
CCTV-12高清,http://125.117.191.89:8888/udp/233.50.201.123:5140
CCTV-12高清,http://183.130.46.157:8808/udp/233.50.201.123:5140
CCTV-12高清,http://60.176.120.163:55555/udp/233.50.201.123:5140
CCTV-12,http://125.117.104.60:8888/udp/233.50.201.123:5140
CCTV-12,http://125.117.191.89:8888/udp/233.50.201.123:5140
CCTV-12,http://183.130.46.157:8808/udp/233.50.201.123:5140
CCTV-12,http://60.176.120.163:55555/udp/233.50.201.123:5140
CCTV-13高清,http://122.242.147.47:9999/udp/233.50.201.246:5140
CCTV-13高清,http://125.117.191.89:8888/udp/233.50.201.246:5140
CCTV-13高清,http://183.130.46.157:8808/udp/233.50.201.246:5140
CCTV-13,http://122.242.147.47:9999/udp/233.50.201.246:5140
